Year,Tic,EPS,Dividends,Net_Income,Price
2017,INTU,3.72,357,971,137.21
2018,INTU,4.64,407,1211,204.24
2019,INTU,5.89,500,1557,277.31
2020,INTU,6.92,562,1826,306.37
2021,INTU,7.56,651,2062,529.97
2022,INTU,7.28,781,2066,456.17
2023,INTU,8.42,898,2384,511.7
2014,COST,4.65,584,2058,121.08
2015,COST,5.37,2865,2377,140.05
2016,COST,5.33,746,2350,162.09
2017,COST,6.08,3945,2679,156.74
2018,COST,7.09,936,3134,233.13
2019,COST,8.26,1057,3659,294.76
2020,COST,9.02,1193,4002,347.66
2021,COST,11.27,5748,5007,455.49
2022,COST,13.14,1498,5844,522.1
2023,COST,14.16,1698,6292,549.28
2019,UBER,-5.02,0,-8506,29.74
2020,UBER,-3.86,0,-6768,51
2021,UBER,-0.29,0,-496,41.93
2022,UBER,-4.65,0,-9141,24.73
2023,UBER,0.87,0,1887,61.57
2014,AMZN,-0.52,0,-241,310.35
2015,AMZN,1.25,0,596,675.89
2016,AMZN,4.9,0,2371,749.87
2017,AMZN,6.15,0,3033,1169.47
2018,AMZN,20.14,0,10073,1501.97
2019,AMZN,23.01,0,11588,1847.84
2020,AMZN,41.83,0,21331,3256.93
2021,AMZN,64.81,0,33364,3334.34
2022,AMZN,-0.27,0,-2722,84
2023,AMZN,2.9,0,30425,151.94
2014,NFLX,4.32,0,266.8,341.61
2015,NFLX,0.28,0,122.64,114.38
2016,NFLX,0.43,0,186.68,123.8
2017,NFLX,1.25,0,558.93,191.96
2018,NFLX,2.68,0,1211.24,267.66
2019,NFLX,4.13,0,1866.92,323.57
2020,NFLX,6.08,0,2761.4,540.73
2021,NFLX,11.24,0,5116.23,602.44
2022,NFLX,9.95,0,4491.92,294.88
2023,NFLX,12.03,0,5407.99,486.88
2013,CRM,-0.39,0,-232.18,60.53
2014,CRM,-0.42,0,-262.69,56.45
2015,CRM,-0.07,0,-47.43,68.06
2016,CRM,0.26,0,179.63,79.1
2017,CRM,0.17,0,127.48,113.91
2018,CRM,1.43,0,1110,151.97
2019,CRM,0.15,0,126,182.31
2020,CRM,4.38,0,4072,225.56
2021,CRM,1.48,0,1444,232.63
2022,CRM,0.21,0,208,167.97
2023,CRM,4.2,0,4136,281.09
2014,MA,3.1,569,3617,86.16
2015,MA,3.35,755,3808,97.36
2016,MA,3.69,863,4059,103.25
2017,MA,3.65,969,3915,151.36
2018,MA,5.6,1123,5859,188.65
2019,MA,7.94,1408,8118,298.59
2020,MA,6.37,1641,6411,356.94
2021,MA,8.76,1781,8687,359.32
2022,MA,10.22,1968,9930,347.73
2023,MA,11.83,2231,11195,426.51
2014,GOOGL,21.02,0,14444,530.66
2015,GOOGL,22.84,0,16348,778.01
2016,GOOGL,27.85,0,19478,792.45
2017,GOOGL,18,0,12662,1053.4
2018,GOOGL,43.7,0,30736,1044.96
2019,GOOGL,49.16,0,34343,1339.39
2020,GOOGL,58.61,0,40269,1752.64
2021,GOOGL,112.2,0,76033,2897.04
2022,GOOGL,4.56,0,59972,88.23
2023,GOOGL,5.8,0,73795,139.69
2014,META,1.1,0,2940,78.02
2015,META,1.29,0,3688,104.66
2016,META,3.49,0,10217,115.05
2017,META,5.39,0,15934,176.46
2018,META,7.57,0,22112,131.09
2019,META,6.43,0,18485,205.25
2020,META,10.09,0,29146,273.16
2021,META,13.77,0,39370,336.35
2022,META,8.59,0,23200,120.34
2023,META,14.87,0,39098,353.96
2014,V,8.62,1006,5438,213.37
2015,V,2.58,1177,6328,69.66
2016,V,2.48,1350,5991,82.7
2017,V,2.8,1579,6699,105.24
2018,V,4.42,1918,10301,150.09
2019,V,5.32,2269,12080,172.01
2020,V,4.89,2664,10866,199.97
2021,V,5.63,2798,12311,222.75
2022,V,7,3203,14957,177.65
2023,V,8.28,3751,17273,230.01
2014,AVGO,0.99,284,263,86.25
2015,AVGO,4.85,408,1364,123.13
2016,AVGO,-4.86,716,-1739,170.28
2017,AVGO,4.02,1653,1692,263.91
2018,AVGO,28.44,2921,12259,223.49
2019,AVGO,6.43,4235,2724,292.85
2020,AVGO,6.33,5235,2960,349.63
2021,AVGO,15,5913,6736,531.67
2022,AVGO,26.53,6733,11495,470.12
2023,AVGO,32.98,7645,14082,841.37
2014,TSLA,-2.36,0,-294.04,222.41
2015,TSLA,-6.93,0,-888.66,240.01
2016,TSLA,-4.68,0,-674.91,213.69
2017,TSLA,-11.83,0,-1961.4,311.35
2018,TSLA,-5.72,0,-976.09,332.8
2019,TSLA,-4.92,0,-862,418.33
2020,TSLA,0.64,0,721,705.67
2021,TSLA,4.9,0,5519,1056.78
2022,TSLA,3.62,0,12556,123.18
2023,TSLA,4.3,0,14997,248.48
